id,contract_type,created,title,appellationlibelle
159SRQR,CDI,2023-08-11T16:34:31.000Z,"Réparateur / Réparatrice en smartphone, téléphonie mobile...H/F","Réparateur(trice) en smartphone, téléphonie mobile, tablette"
159SRNH,CDI,2023-08-11T16:32:09.000Z,Technicien maintenance informatique (F/H),Technicien / Technicienne de maintenance en informatique
159SQRG,CDI,2023-08-11T16:12:33.000Z,Technicien helpdesk N1 (H/F),Technicien(ne) support de proximité en informatique
159SQQD,CDI,2023-08-11T16:11:13.000Z,Technicien Help Desk (F/H),Technicien / Technicienne de help desk en informatique
159SPXG,MIS,2023-08-11T15:55:07.000Z,Technicien Support Informatique (h/f),Technicien / Technicienne de help desk en informatique
159SPWD,MIS,2023-08-11T15:54:24.000Z,Technicien support utilisateur H/F (H/F),Support aux utilisateurs en informatique
159SNYS,CDD,2023-08-11T15:35:50.000Z,"Réparateur / Réparatrice en smartphone, téléphonie mobile, tablette","Réparateur(trice) en smartphone, téléphonie mobile, tablette"
159SLXB,CDI,2023-08-11T15:01:53.000Z,Technicien Help Desk (F/H),Technicien / Technicienne de help desk en informatique
159SLWY,CDI,2023-08-11T15:01:48.000Z,Technicien maintenance informatique (F/H),Technicien / Technicienne de maintenance en informatique
159SJZN,MIS,2023-08-11T14:27:46.000Z,Technicien support informatique / Déploiement (h/f),Technicien(ne) support de proximité en informatique
159SJHM,CDI,2023-08-11T14:11:46.000Z,Technicien maintenance informatique (F/H),Technicien / Technicienne de maintenance en informatique
159SGKN,MIS,2023-08-11T13:01:54.000Z,Conducteur de travaux (h/f),Superviseur / Superviseuse help desk en informatique
159SFDC,CDI,2023-08-11T12:21:18.000Z,Technicien maintenance informatique (F/H),Technicien / Technicienne de maintenance en informatique
159SDJQ,CDI,2023-08-11T12:05:58.000Z,Comptable - Techinicien Support Progiciel (H/F),Support technique hot line en informatique
159RZZG,CDI,2023-08-11T11:29:12.000Z,Technicien support poste de travail (H/F),Technicien(ne) support de proximité en informatique
159RZRQ,CDI,2023-08-11T11:23:31.000Z,Technicien support et développement informatique (H/F),Support aux utilisateurs en informatique
159RZCK,CDI,2023-08-11T11:13:50.000Z,technicien en électroménager (H/F),Technicien(ne) de maintenance en appareils électroménagers
159RYXR,CDI,2023-08-11T11:11:16.000Z,Technicien / Technicienne de hot line en informatique,Technicien / Technicienne de hot line en informatique
159RYKQ,CDI,2023-08-11T11:02:51.000Z,Technicien GTB / GTC - Les Mureaux (78) (H/F),Technicien / Technicienne de hot line en informatique
159RYKN,CDI,2023-08-11T11:02:47.000Z,Opérateur en production de produits informatiques (H/F),Réparateur(trice) produits télécommunication et multimédia
159RXPC,CDI,2023-08-11T10:48:49.000Z,"Réparateur / Réparatrice en smartphone, téléphonie mobile, tablette","Réparateur(trice) en smartphone, téléphonie mobile, tablette"
159RXKR,CDI,2023-08-11T10:46:26.000Z,Technicien / Technicienne support de proximité en informatique (H/F),Technicien(ne) support de proximité en informatique
159RWML,CDD,2023-08-11T10:32:04.000Z,Chargé de support (H/F),Support aux utilisateurs en informatique
159RVNN,MIS,2023-08-11T10:16:37.000Z,Technicien Informatique Support Utilisateur (H/F),Support aux utilisateurs en informatique
159RTZT,CDI,2023-08-11T10:09:19.000Z,Technicien informatique systèmes et réseaux (H/F),Technicien(ne) de maintenance de réseaux informatiques
159RSYS,CDD,2023-08-11T09:52:33.000Z,Technicien de maintenance du parc informatique (H/F),Agent / Agente de maintenance en informatique
159RSHX,CDI,2023-08-11T09:42:55.000Z,"Réparateur / Réparatrice en smartphone, téléphonie mobile,  (H/F)","Réparateur(trice) en smartphone, téléphonie mobile, tablette"
159RRWW,MIS,2023-08-11T09:36:08.000Z,TECHNICIEN DE PROXIMITE - SUPPORT VIP (H/F),Technicien(ne) support de proximité en informatique
159RQSQ,CDI,2023-08-11T09:15:17.000Z,Support aux utilisateurs en informatique,Support aux utilisateurs en informatique
159RQSC,CDI,2023-08-11T09:14:35.000Z,Technicien / Technicienne de help desk en informatique,Technicien / Technicienne de help desk en informatique
159RQHQ,CDI,2023-08-11T09:04:07.000Z,Technicien / Technicienne de maintenance en informatique,Technicien / Technicienne de maintenance en informatique
159RPMF,CDD,2023-08-11T08:41:59.000Z,Agent / Agente de maintenance en informatique,Agent / Agente de maintenance en informatique
159RGFY,CDD,2023-08-10T16:20:00.000Z,Technicien-ne informatique et systèmes d'informations (H/F),Technicien(ne) de maintenance de systèmes informatiques
159RFVJ,MIS,2023-08-10T16:11:07.000Z,Technicien informatique support utilisateur (H/F),Support aux utilisateurs en informatique
159RFRC,MIS,2023-08-10T16:07:36.000Z,Technicien Informatique Support Utilisateur (H/F),Support aux utilisateurs en informatique
159RFQM,CDI,2023-08-10T16:06:57.000Z,Assistant-e aux utilisateurs logiciel DUI médico-social (H/F),Assistant / Assistante aux utilisateurs en informatique
159RFQD,CDD,2023-08-10T16:06:47.000Z,Alternance Infra / DevOps H/F (H/F),Support aux utilisateurs en informatique
159RFKF,MIS,2023-08-10T16:02:40.000Z,Technicien Help Desk (F/H),Technicien / Technicienne de help desk en informatique
159RFHM,CDD,2023-08-10T16:01:12.000Z,Chargé-e de déploiement logiciel DUI médico-social (H/F),Assistant / Assistante aux utilisateurs en informatique
159RDVL,CDI,2023-08-10T15:51:05.000Z,AGENT DE MAINTENANCE INFORMATIQUE ET TECHNIQUE H/F,Agent / Agente de maintenance en informatique
159RCXD,MIS,2023-08-10T15:31:49.000Z,Technicien Help Desk (F/H),Technicien / Technicienne de help desk en informatique
159RCLK,CDD,2023-08-10T15:22:14.000Z,Technicien support IT (H/F),Technicien / Technicienne de help desk en informatique
159RCKV,CDI,2023-08-10T15:21:30.000Z,Technicien Help Desk (F/H),Technicien / Technicienne de help desk en informatique
159RCKK,MIS,2023-08-10T15:21:14.000Z,Technicien Help Desk (F/H),Technicien / Technicienne de help desk en informatique
159RBPH,MIS,2023-08-10T15:04:13.000Z,Technicien Support Informatique de Proximité (H/F),Technicien(ne) support de proximité en informatique
159RBKB,CDD,2023-08-10T15:00:15.000Z,Chargé de mission support applicatif (H/F),Support aux utilisateurs en informatique
159QZSM,CDI,2023-08-10T14:50:03.000Z,Superviseur IT expérimenté(e) de contrat d'infogérance (H/F),Superviseur / Superviseuse help desk en informatique
159QZHP,CDI,2023-08-10T14:43:12.000Z,Superviseur / Superviseuse IT de contrat d'infogérance (H/F),Superviseur / Superviseuse help desk en informatique
159QYZX,MIS,2023-08-10T14:37:19.000Z,Technicien support de proximité (H/F),Support aux utilisateurs en informatique
159QVFR,MIS,2023-08-10T12:21:15.000Z,Technicien Help Desk (F/H),Technicien / Technicienne de help desk en informatique
159QVBZ,CDD,2023-08-10T12:17:26.000Z,Technicien SIC support de proximité,Technicien(ne) de maintenance de systèmes informatiques
159QSZQ,CDI,2023-08-10T11:56:05.000Z,Technicien(ne) SAV / After Sales Technician H/F (H/F),Technicien/Technicienne Service Après Vente en bureautique
159QSYV,CDI,2023-08-10T11:55:26.000Z,Technicien / Technicienne de maintenance en matériels informatiques,Technicien(ne) de maintenance en matériels informatiques
159QSFB,MIS,2023-08-10T11:41:11.000Z,Technicien maintenance informatique (F/H),Technicien / Technicienne de maintenance en informatique
159QRJD,MIS,2023-08-10T11:26:58.000Z,Technicien informatique support utilisateur (H/F),Support aux utilisateurs en informatique
159QQWF,MIS,2023-08-10T11:19:05.000Z,Technicien maintenance GSM (H/F),Technicien(ne) de maintenance de réseaux informatiques
159QQVV,MIS,2023-08-10T11:18:56.000Z,Technicien informatique Support utilisateur (H/F),Support aux utilisateurs en informatique
159QMJH,CDI,2023-08-10T10:18:35.000Z,Technicien / Technicienne de Service Après-Vente -SAV (H/F),Technicien/Technicienne Service Après-Vente en informatique
159QLTC,CDI,2023-08-10T10:08:44.000Z,Technicien / Technicienne support de proximité en informatique,Technicien(ne) support de proximité en informatique
159QLRT,CDI,2023-08-10T10:07:47.000Z,Support aux utilisateurs en informatique                    (H/F),Support aux utilisateurs en informatique
159QLMB,CDI,2023-08-10T10:03:54.000Z,Technicien service desk   (H/F),Technicien / Technicienne de help desk en informatique
159QKVT,CDI,2023-08-10T09:53:50.000Z,Technicien / Technicienne support de proximité en informatique,Technicien(ne) support de proximité en informatique
159QKQR,CDI,2023-08-10T09:50:57.000Z,TECHNICIEN IMES RADIO (H/F),"Technicien / Technicienne en télévision, hi-fi"
159QKNB,CDI,2023-08-10T09:48:47.000Z,TECHNICIEN IMES RADIO (H/F),"Technicien / Technicienne en télévision, hi-fi"
159QKLZ,CDI,2023-08-10T09:48:02.000Z,Technicien support informatique itinérant                   (H/F),Technicien(ne) support de proximité en informatique
159QKLB,CDI,2023-08-10T09:47:16.000Z,Support aux utilisateurs en informatique                    (H/F),Support aux utilisateurs en informatique
159QKCV,CDD,2023-08-10T09:41:45.000Z,Technicien SAV électroménager (H/F),Technicien(ne) dépanneur(se) gros électroménagers
159QKBQ,CDI,2023-08-10T09:41:15.000Z,Technicien / Technicienne Systèmes & Réseaux                (H/F),Technicien(ne) de maintenance de réseaux télématiques
159QJXT,MIS,2023-08-10T09:39:11.000Z,TECHNICIEN(NE) DE RÉPARATION - PC (H/F),Technicien(ne) de maintenance en matériels informatiques
159QJSX,CDI,2023-08-10T09:35:55.000Z,Responsable Service Après-vente (H/F),Responsable Service Après-Vente -SAV- en électroménager
159QJRS,CDI,2023-08-10T09:35:18.000Z,CHARGE DE SUPPORT OPERATIONNEL (H/F),Technicien / Technicienne support en bureautique
159QJHQ,CDD,2023-08-10T09:27:25.000Z,Technicien (ne) Systèmes et Réseaux Informatique - Apprentissage (H/F),Technicien / Technicienne en micro-informatique et réseaux
159QGGB,CDI,2023-08-10T08:39:08.000Z,Technicien débutant help desk en informatique               (H/F),Technicien / Technicienne de help desk en informatique
159QCQK,MIS,2023-08-09T18:43:50.000Z,Réparateur Dépanneur (h/f),Dépanneur / Dépanneuse d'appareils électroménagers
159PYWT,MIS,2023-08-09T16:47:42.000Z,Technicien support utilisateur H/F (H/F),Technicien(ne) support de proximité en informatique
159PYTP,MIS,2023-08-09T16:45:19.000Z,Technicien support utilisateur N2 H/F (H/F),Technicien(ne) support de proximité en informatique
