id,contract_type,created,title,appellationlibelle
151TNYT,CDI,2023-03-29T14:38:20.000Z,DEPANNEUR POLYVALENT (H/F),Réparateur / Réparatrice en électroménager
151RZWG,CDI,2023-03-28T16:01:38.000Z,Technicien / Technicienne de hot line en informatique    (H/F),Technicien / Technicienne de hot line en informatique
150MGGM,CDD,2023-03-08T16:46:19.000Z,APPRENTI TECHNICIEN INFORMATIQUE  IMPRESSION ET TELEPHONIE  (H/F),Technicien / Technicienne en réseau local informatique
1963390,CDI,2023-03-28T04:03:39.000Z,SUPERVISEUR OPÉRATIONNEL DE RACCORDEMENT - H/F,Superviseur / Superviseuse help desk en informatique
1872998,CDI,2023-03-26T05:13:21.000Z,Technicien support et déploiement informatique F/H - Irec Emploi (H/F),Technicien(ne) support de proximité en informatique
1318607,CDI,2023-03-17T04:49:39.000Z,Superviseur SAV H/F,Responsable Service Après-Vente -SAV- en électroménager
1312989,CDI,2023-03-17T03:44:01.000Z,Technicien(ne) SAV H/F,Technicien/Technicienne Service Après-Vente en informatique
1311402,CDI,2023-03-17T03:37:49.000Z,Superviseur(se) support applicatif F/H (H/F),Superviseur / Superviseuse help desk en informatique
1289596,MIS,2023-03-16T14:53:56.000Z,Technicien / Technicienne de Service Après-Vente -SAV- en informatique (H/F),Technicien/Technicienne Service Après-Vente en informatique
0970700,CDI,2023-03-11T10:53:18.000Z,Technicien / Technicienne de maintenance en matériels domestiques électroniques (H/F),Technicien(ne) maintenance matériels domestiques électro
0965405,MIS,2023-03-11T09:46:33.000Z,Technicien / Technicienne de maintenance en matériels domestiques électroniques (H/F),Technicien(ne) maintenance matériels domestiques électro
0965186,MIS,2023-03-11T09:45:04.000Z,Technicien / Technicienne de maintenance en matériels domestiques électroniques (H/F),Technicien(ne) maintenance matériels domestiques électro
0657968,CDI,2023-03-07T09:56:25.000Z,Technicien / Technicienne de maintenance en matériels domestiques électroniques (H/F),Technicien(ne) maintenance matériels domestiques électro
0481603,CDI,2023-03-05T03:57:57.000Z,DEPANNEUR CHAUFFAGISTE BTOC - H/F,Technicien(ne) dépanneur(se) gros électroménagers
