description,salary_is_predicted,salary_max,created,title,id,salary_min,company,area,location,tag,category,contract_type
"Développeur - Fullstack Java - Assurances et protection sociale - Le Mans Sopra Steria , l’un des leaders européens de la Tech reconnu pour ses activités de conseil, de services numériques et d’édition de logiciels, aide ses clients à mener leur transformation digitale et à obtenir des bénéfices concrets et durables. Il apporte une réponse globale aux enjeux de compétitivité des grandes entreprises et organisations, combinant une connaissance approfondie des secteurs d’activité et des technolog…",0,60000.0,2023-07-16T20:01:13Z,Développeur - Fullstack Java - Assurances et protection sociale - Le Mans,4209285608,40000.0,Sopra Steria Group,"['France', 'Pays de la Loire', 'Sarthe', 'Le Mans']","Le Mans, Sarthe",it-jobs,Emplois Informatique,
"La MSA, Sécurité sociale du monde agricole et rural, est le 2ème régime de protection sociale en France. Avec ses 16 000 collaborateurs répartis au sein de ses 37 organismes, elle protège plus de 5 millions de personnes (agriculteurs, salariés agricoles, collaborateurs des organismes professionnels agricoles) tout au long de leur vie. Interlocuteur unique de ses ressortissants, la MSA verse toutes les prestations auxquelles ils peuvent prétendre en santé, famille, retraite, accident du travail …",0,,2023-07-25T08:41:41Z,Développeur Full Stack H/F,4222568903,,MSA France,"['France', 'Ile-de-France', 'Seine-Saint-Denis']","Seine-Saint-Denis, Ile-de-France",it-jobs,Emplois Informatique,
"Le directeur de site doit s'assurer que tous les Organisations hébergées sur son site bénéficient des conditions optimales pour mener à bien leur mission et atteindre leurs objectifs commerciaux, dans le respect des procédures internes et de la législation en vigueur, tout en garantissant le respect des valeurs et de la stratégie de l'entreprise et en profitant au mieux de l'environnement socio-économique local. Pour mener à bien cette mission, le titulaire du poste doit : fournir aux organisat…",0,150000.0,2023-05-21T20:03:25Z,Le Mans site director M/F,4111521467,125000.0,ST Microelectronics,"['France', 'Pays de la Loire', 'Sarthe', 'Le Mans']","Le Mans, Sarthe",it-jobs,Emplois Informatique,
"Support Associate - Chico's - RiverTown Crossings Off The Rack Join our chic team, dedicated to a styling and social experience that inspires women to express their individuality. POSITION OBJECTIVE: The Support Associate is responsible for supporting a customer and product-focused sales culture where our core principles are at the forefront of all store operations. This is achieved through performing various sales operations functions, including merchandise handling, stock processing, and stoc…",0,60000.0,2023-08-05T12:37:20Z,Support Associate - Chico's - RiverTown Crossings Off The Rack,4244357898,40000.0,Chico's,['France'],France,it-jobs,Emplois Informatique,
"Qui sommes nous Euro-Information, filiale technologique de Crédit Mutuel Alliance Fédérale, conçoit, réalise, maintient et exploite un système d'information commun utilisé par le Groupe. Les activités de développement et de production informatique au niveau national et international sont assurées par environ 4000 salariés répartis sur plusieurs sites géographiques au niveau national : Strasbourg, Nancy, Dijon, Orléans, Lyon, Lille, Cergy, Val de Fontenay, Paris et Nantes. Première Banque à adop…",0,50000.0,2023-07-21T06:24:08Z,Administrateur Elasticsearch - Equipe Systèmes et Réseaux H/F,4216189051,35000.0,EURO INFORMATION PRODUCTION,"['France', 'Grand-Est', 'Bas-Rhin']","Bas-Rhin, Grand-Est",it-jobs,Emplois Informatique,
"SUNAPSIS est une ESN existant depuis plus de 30 ans et référencée auprès des plus grands groupes internationaux. Nousaccompagnons nos clients dans la mise en place de leurs projets SI, tant sur le plan du développement que sur celui de l'exploitation, en leur proposant différentes prestations : ingénierie, conseil, recrutement et TMA. Nous recrutons pour l'un de nos clients, dans le cadre d'un CDI en recrutement direct un Développeur RPG H/F. Le client final est basé à Rosny-sous-Bois (93). Vos…",0,,2023-07-11T07:57:56Z,Développeur Ibmi H/F,4199601320,,Sunapsis,"['France', 'Ile-de-France', 'Seine-Saint-Denis', 'Bobigny', 'Rosny-sous-Bois']","Rosny-sous-Bois, Bobigny",it-jobs,Emplois Informatique,
"Développeur confirmé .Net / React JS H/F ALTER SOLUTIONS est une société de conseil et d’expertise en technologies créée en 2006. Notre vocation est d’accompagner nos clients sur les enjeux technologiques et organisationnels de leur transformation digitale. Notre offre s’articule autour des expertises suivantes: Cybersécurité Avec 6 bureaux en France, au Portugal, en Allemagne et en Belgique, et plus de 600 collaborateurs, nous offrons un réseau d'experts qui garantit un large éventail de compé…",0,80000.0,2023-08-13T09:49:31Z,Développeur confirmé .Net / React JS H/F,4257729716,60000.0,Alter solutions,"['France', 'Ile-de-France', 'Paris']","Paris, Ile-de-France",it-jobs,Emplois Informatique,
"G2RH, partenaire et conseil en Ressources Humaines, recherche en exclusivité pour l'un de ses clients, groupe multi-sociétés (25 personnes) intervenant dans l'administration de systèmes et réseaux, le développement de projets IT et la mise en place de solutions informatiques à destination des professionnels, un/une Chef de projet - Administrateur Système et Réseau H/F pour sa filiale dédiée à l'assistance informatique des entreprises située proche de La Chapelle-sur-Erdre (44). Directement ratt…",0,41999.0,2023-08-02T07:20:09Z,Chef de Projet- Administrateur Système et Réseau H/F,4237534142,37000.0,G2RH,"['France', 'Pays de la Loire', 'Loire-Atlantique', 'Nantes', 'La Chapelle-sur-Erdre']","La Chapelle-sur-Erdre, Nantes",it-jobs,Emplois Informatique,
"Comme une majorité de personnes, nous avons été confrontés à des sources d'anxiété et de stress importantes, dans un contexte pro comme perso. Le tabou étant encore largement présent dans l'entreprise, nous nous sommes donnés comme mission de démocratiser la santé mentale pour accompagner les individus et transformer les organisations. C’est pour cette raison que nous avons créé teale , qui est une solution unique en Europe, reposant sur une approche engageante, personnalisée et scientifiquemen…",0,100000.0,2023-08-03T02:58:38Z,Data Scientist Senior,4239159844,80000.0,Station F,"['France', 'Ile-de-France', 'Paris']","Paris, Ile-de-France",it-jobs,Emplois Informatique,
"Pourquoi rejoindre Koders : KODERS est une ESN en plein développement qui accompagne ses clients au national, dans la mise en place de solutions digitales. En 2022, Koders a réalisé une croissance de 70%. Nous opérons dans divers secteurs Startups & Innovation, Industrie, Transport, Medical, Finance, Micro-électronique, secteur public, energie Dans le cadre de ses activités de conseil, Koders recherche un Développeur confirmé Frontend Angular (H/F) pour un de ses clients, un grand groupe dans l…",0,45000.0,2023-08-12T18:25:02Z,Angular - Développeur Confirmé Frontend H/F,4257090813,30000.0,Koders,"['France', 'Occitanie', 'Hérault']","Hérault, Occitanie",it-jobs,Emplois Informatique,
"Niveau d'études: Bac 5 - Ingénieur et cadres Famille de métier: Procédés/Industrialisation Description de l'entreprise Accélérez votre carrière au sein d’un groupe d’ingénierie mondial à forte croissance. Chez SEGULA Technologies, vous travaillerez sur des projets passionnants et contribuerez à façonner l’avenir au sein d’une entreprise pour qui l’innovation est indissociable de l’ingénierie. Impression 3D, réalité augmentée, véhicule autonome, usine du futur… rythment le quotidien de nos 12000…",0,60000.0,2023-06-28T01:10:38Z,System Test Engineering H/F,4173978450,40000.0,Segula Technologies,"['France', 'Auvergne-Rhône-Alpes', 'Haute-Savoie', 'Saint-Julien-en-Genevois', 'Annemasse']","Annemasse, Saint-Julien-en-Genevois",it-jobs,Emplois Informatique,
"Spécialiste de la conception et de la fabrication de solutions de communication sans fil, notre client recrute son Responsable Test et Validation h/f. Rattaché(/e) au Responsable Développement logiciel, au sein de l’équipe « Test et Validation » composée de 3 collaborateurs, la finalité de vos fonctions porte sur la validation de notre large gamme de produits WiFi dédiée aux applications industrielles (Switchs Ethernet avec WiFi intégré, points d’accès, clients, répéteurs, routeurs WiFi et Mesh…",0,80000.0,2023-07-15T08:00:02Z,Responsable Test et validation h/f,4207219587,60000.0,Dresmo Search,"['France', 'Ile-de-France', ""Val-d'Oise"", 'Sarcelles', 'Enghien-les-Bains']","Enghien-les-Bains, Sarcelles",it-jobs,Emplois Informatique,
"Identifiant (email, de type exempleexemple.fr) DA Le Bourget 2023 Analyste Cybersécurité CSIRT H/F Informations générales Fan de cybersécurité au sein d’une équipe jeune et dynamique et dans un environnement produit passionnant ? Le numérique est au cœur de la performance de Dassault Aviation, qui n’a cessé d’investir dans les innovations numériques depuis la révolution de la maquette 3D. Dassault Aviation a été le creuset d’où a émergé Dassault Systèmes. De par la sensibilité de ses activités …",0,80000.0,2023-07-14T08:23:38Z,Analyste Cybersécurité CSIRT H/F,4205077226,60000.0,DASSAULT AVIATION,['France'],France,it-jobs,Emplois Informatique,
"Bienvenue chez Atos, où nous imaginons le futur de la tech. Leader international du numérique sécurisé et décarboné, Atos contribue à façonner les nouvelles technologies avec ses clients. Dans un environnement multiculturel, collaboratif et agile, nous offrons des parcours de carrière valorisants basés sur des programmes de formation, de certification et de mobilité. C'est pourquoi chez Atos, la diversité des compétences et des expériences de nos équipes nous permet, ensemble, de faire les bons…",0,,2023-07-11T07:57:57Z,Consultant Cybersécurité H/F,4199601908,,Atos,"['France', 'Ile-de-France', ""Val-d'Oise"", 'Argenteuil', 'Bezons']","Bezons, Argenteuil",it-jobs,Emplois Informatique,
"Qui sont-ils ? Fort d'une culture axée sur l'humain et le digital, Manutan, leader européen du e-commerce BtoB, est spécialisé dans la distribution d'équipements et de fournitures aux entreprises. Avec la volonté d'aller toujours plus loin pour satisfaire les attentes et nouveaux besoins de ses clients, l'entreprise propose, en plus d'une large gamme de produits sélectionnés avec soin par des experts, des services et conseils complémentaires. Son engagement amène Manutan à créer le concept du «…",0,,2023-08-13T05:59:07Z,Data Scientist Lead H/F,4257556621,,Manutan,"['France', 'Ile-de-France', ""Val-d'Oise"", 'Sarcelles', 'Garges-lès-Gonesse-Est']","Garges-lès-Gonesse-Est, Sarcelles",it-jobs,Emplois Informatique,
Expert technique Collaboration CISCO H/F H/F Description du poste Intitulé de la fonction / poste Expert technique Collaboration CISCO H/F H/F Type de contrat Durée indéterminée Nature de contrat Votre mission Assurer l'interface technique et fonctionnelle entre le client et l'entreprise Apporter au client le conseil et la qualité de service Réaliser la mise en production et l'exploitation des projets en respectant les jalons et livrables Participer à l'élaboration du dossier de conception avec…,0,60000.0,2023-07-05T20:54:33Z,Expert technique Collaboration CISCO H/F H/F,4191563182,40000.0,SPIEgroup,"['France', 'Occitanie', 'Haute-Garonne', 'Toulouse']","Toulouse, Haute-Garonne",it-jobs,Emplois Informatique,
"Insitoo Freelance, facilitateur du freelancing depuis 2007, recherche pour son client en direct un Ingénieur DevOps / Intégrateur (H/F) - LYON. Fonctionnement sur site à Lyon  2 jours de télétravail Les missions attendues par le Ingénieur DevOps / Intégrateur (H/F) - LYON sont : Description Vous êtes intégrés à une équipe de plusieurs DEVOPS et animé par un LeadTech. Vous serez peut-être amené à prendre le rôle tournant de Lead INFRA au sein de l’équipe DevOps. La plateforme évolue dans un cont…",0,480.0,2023-08-10T21:47:51Z,ingénieur informatique DevOps / Intégrateur (H/F) - LYON (IT),4254015685,480.0,Insitoo Freelances,"['France', 'Auvergne-Rhône-Alpes', 'Rhône', 'Lyon']","Lyon, Rhône",it-jobs,Emplois Informatique,contract
"Rejoindre Davidson, ce n'est pas seulement intégrer un groupe de 3000 consultants dans 8 pays et 3 continents, c'est intégrer LA société qui a été élue par ses salariés Great Place To Work France et Europe pendant 4 ans ainsi que la plus grande B Corp de France  Les « B Corp » formant une communauté de sociétés qui ont décidé d'être non pas les meilleures du monde mais les meilleures POUR le monde. Parce que notre développement repose sur des principes forts : - Un profond respect de l'ensemble…",0,40000.0,2023-07-25T07:06:17Z,Data Scientist H/F,4222363198,31000.0,Davidson Consulting,"['France', 'Centre', 'Indre-et-Loire']","Indre-et-Loire, Centre",it-jobs,Emplois Informatique,
"DGSI-Analyste de données de lutte contre la manipulation de l'information Réf. Référence : MINT_BA092ACA-70157 Fonction publique : Fonction publique de l'État Veuillez pour partager sur Facebook, Twitter et LinkedIn. Nature de l’emploi Emploi ouvert aux titulaires et aux contractuels Expérience souhaitée Non renseigné Rémunération (fourchette indicative pour les contractuels) Non renseigné Catégorie Catégorie A (cadre) Télétravail possible Non Groupe RIFSEEP: 3 Vos activités principales: Au sei…",0,60000.0,2023-08-11T12:35:08Z,DGSI-Analyste de données de lutte contre la manipulation de l'information,4255153681,40000.0,Ministère de l'Intérieur,['France'],France,it-jobs,Emplois Informatique,
"Pour accompagner le développement de nos activités Intelligent Infrastructures & Transport Systems-2ITS, l'agence de Lyon, vous interviendrez en ingénierie (études et suivi de réalisations) : De systèmes de transports en commun : aide à l'exploitation, information voyageurs, information multimodale, billettique, MaaS, réseaux multi-services, priorité aux carrefours à feux, sur des opérations en cours comme les études et suivi des déploiements des systèmes des BHNS (Bus à Haut Niveau Service) de…",0,,2023-07-21T06:24:25Z,Chargé de Projets Systèmes de Transports en Commun H/F,4216195016,,Egis Groupe,"['France', 'Auvergne-Rhône-Alpes', 'Rhône', 'Lyon', 'Caluire-et-Cuire']","Caluire-et-Cuire, Lyon",it-jobs,Emplois Informatique,
"Rejoindre LINCOLN, c’est rejoindre un cabinet de conseil reconnu pour son expertise data depuis plus de 30 ans , en proposant des prestations d’expertise, de conseil et d’accompagnement en Modern BI, Big Data etScience de la donnée. Vous progresserez au sein d’une équipe de 380 experts de l’ingénierie Vousévoluerez ainsi dans un environnement technique stimulant et en constante évolution : architectures distribuées ; sécurisation, configuration et optimisation de plateformes ; gouvernance QoD ;…",0,60000.0,2023-07-14T11:30:03Z,Data Engineer NiFi - H/F,4205508701,40000.0,Lincoln,['France'],France,it-jobs,Emplois Informatique,
